year,region,SSP1,SSP2,SSP3,SSP4,SSP5
y1968,CHA,0.192675178407908,0.192675178407908,0.192675178407908,0.192675178407908,0.192675178407908
y1968,IND,0.19366,0.19366,0.19366,0.19366,0.19366
y1968,JPN,0.70316,0.70316,0.70316,0.70316,0.70316
y1968,USA,0.72974,0.72974,0.72974,0.72974,0.72974
y1969,LAM,0.563900212438466,0.563900212438466,0.563900212438466,0.563900212438466,0.563900212438466
y1969,OAS,0.210251093290857,0.210251093290857,0.210251093290857,0.210251093290857,0.210251093290857
y1969,SSA,0.178739021748923,0.178739021748923,0.178739021748923,0.178739021748923,0.178739021748923
y1969,EUR,0.652799894016994,0.652799894016994,0.652799894016994,0.652799894016994,0.652799894016994
y1969,NEU,0.422239317158799,0.422239317158799,0.422239317158799,0.422239317158799,0.422239317158799
y1969,MEA,0.397186690412623,0.397186690412623,0.397186690412623,0.397186690412623,0.397186690412623
y1969,REF,0.558911286493467,0.558911286493467,0.558911286493467,0.558911286493467,0.558911286493467
y1969,CAZ,0.785244141760105,0.785244141760105,0.785244141760105,0.785244141760105,0.785244141760105
y1969,CHA,0.191394862726,0.191394862726,0.191394862726,0.191394862726,0.191394862726
y1969,IND,0.19562,0.19562,0.19562,0.19562,0.19562
y1969,JPN,0.71102,0.71102,0.71102,0.71102,0.71102
y1969,USA,0.73333,0.73333,0.73333,0.73333,0.73333
y1970,LAM,0.571441205289054,0.571441205289054,0.571441205289054,0.571441205289054,0.571441205289054
y1970,OAS,0.215107892433405,0.215107892433405,0.215107892433405,0.215107892433405,0.215107892433405
y1970,SSA,0.182432898908219,0.182432898908219,0.182432898908219,0.182432898908219,0.182432898908219
y1970,EUR,0.656499758323061,0.656499758323061,0.656499758323061,0.656499758323061,0.656499758323061
y1970,NEU,0.430313711789669,0.430313711789669,0.430313711789669,0.430313711789669,0.430313711789669
y1970,MEA,0.404376440788419,0.404376440788419,0.404376440788419,0.404376440788419,0.404376440788419
y1970,REF,0.566003953135747,0.566003953135747,0.566003953135747,0.566003953135747,0.566003953135747
y1970,CAZ,0.789087020349432,0.789087020349432,0.789087020349432,0.789087020349432,0.789087020349432
y1970,CHA,0.190130373593875,0.190130373593875,0.190130373593875,0.190130373593875,0.190130373593875
y1970,IND,0.1976,0.1976,0.1976,0.1976,0.1976
y1970,JPN,0.71877,0.71877,0.71877,0.71877,0.71877
y1970,USA,0.73602,0.73602,0.73602,0.73602,0.73602
y1971,LAM,0.579032733985879,0.579032733985879,0.579032733985879,0.579032733985879,0.579032733985879
y1971,OAS,0.219577473503427,0.219577473503427,0.219577473503427,0.219577473503427,0.219577473503427
y1971,SSA,0.18644412447461,0.18644412447461,0.18644412447461,0.18644412447461,0.18644412447461
y1971,EUR,0.660269664870837,0.660269664870837,0.660269664870837,0.660269664870837,0.660269664870837
y1971,NEU,0.436817199152515,0.436817199152515,0.436817199152515,0.436817199152515,0.436817199152515
y1971,MEA,0.411369652775274,0.411369652775274,0.411369652775274,0.411369652775274,0.411369652775274
y1971,REF,0.572874424291414,0.572874424291414,0.572874424291414,0.572874424291414,0.572874424291414
y1971,CAZ,0.792517989859198,0.792517989859198,0.792517989859198,0.792517989859198,0.792517989859198
y1971,CHA,0.18904464562638,0.18904464562638,0.18904464562638,0.18904464562638,0.18904464562638
y1971,IND,0.19991,0.19991,0.19991,0.19991,0.19991
y1971,JPN,0.72666,0.72666,0.72666,0.72666,0.72666
y1971,USA,0.73613,0.73613,0.73613,0.73613,0.73613
y1972,LAM,0.586553153817319,0.586553153817319,0.586553153817319,0.586553153817319,0.586553153817319
y1972,OAS,0.224363946059282,0.224363946059282,0.224363946059282,0.224363946059282,0.224363946059282
y1972,SSA,0.19064355605638,0.19064355605638,0.19064355605638,0.19064355605638,0.19064355605638
y1972,EUR,0.664020786119241,0.664020786119241,0.664020786119241,0.664020786119241,0.664020786119241
y1972,NEU,0.442010260350148,0.442010260350148,0.442010260350148,0.442010260350148,0.442010260350148
y1972,MEA,0.418441691439225,0.418441691439225,0.418441691439225,0.418441691439225,0.418441691439225
y1972,REF,0.579683129351944,0.579683129351944,0.579683129351944,0.579683129351944,0.579683129351944
y1972,CAZ,0.792750437780723,0.792750437780723,0.792750437780723,0.792750437780723,0.792750437780723
y1972,CHA,0.1880187652397,0.1880187652397,0.1880187652397,0.1880187652397,0.1880187652397
y1972,IND,0.20321,0.20321,0.20321,0.20321,0.20321
y1972,JPN,0.73452,0.73452,0.73452,0.73452,0.73452
y1972,USA,0.73623,0.73623,0.73623,0.73623,0.73623
